鸟语花香 春暖花开 阳春三月 万物复苏 春风轻拂 春光明媚
烈日当空 暑气逼人 大汗淋漓 挥汗如雨 乌云翻滚 热不可耐
秋高气爽 五谷丰登 天高云淡 红叶似火 金风送爽 硕果累累
三九严寒 天寒地冻 雪花飞舞 寒冬腊月 千里冰封 滴水成冰
头重脚轻 指手画脚 愁眉苦脸 心明眼亮 目瞪口呆 张口结舌
贼眉鼠眼 交头接耳 眼疾手快 昂首挺胸 心灵手巧 摩肩接踵
五颜六色 五彩缤纷 五光十色 万紫千红 绚丽多彩 色彩斑斓 
千姿百态 千姿万状 姿态万千 形态多样 形态不一 绰约多姿
不胜枚举 数不胜数 不可胜数 数以万计 不计其数 成千上万
成群结队 人山人海 排山倒海 琳琅满目 车水马龙 铺天盖地
满山遍野 绝无仅有 独一无二 沧海一粟 寥寥无几 凤毛麟角
盖世无双 变化多端 变幻莫测 千变万化 瞬息万变 昙花一现 
稍纵即逝 一弹指顷 一泻千里 一目十行 快如闪电 移步换影
健步如飞 风驰电掣 眼疾手快 白驹过隙 快马加鞭 大步流星 
一目十行 一日千里 昙花一现 光阴似箭 日月如梭 岁月如梭  
星转斗移 流星赶月 转瞬即逝 一时半霎 一时半刻 一弹指顷
弹指之间 白驹过隙 天长地久 海枯石烂 千秋万代 千年万载
天荒地老 千秋万世 拾金不昧 舍己为人 视死如归 坚贞不屈
不屈不挠 身材魁梧 亭亭玉立 老态龙钟 西装革履 婀娜多姿
洗耳恭听 昂首阔步 拳打脚踢 交头接耳 左顾右盼 扬眉吐气
怒目而视 火眼金睛 面红耳赤 热泪盈眶 泪流满面 泪如雨下
泪眼汪汪 泪如泉涌 嚎啕大哭 喜笑颜开 眉开眼笑 哈哈大笑
嫣然一笑 微微一笑 忐忑不安 惊慌失措 闷闷不乐 激动人心
焦急万分 载歌载舞 难舍难分 能屈能伸 蹑手蹑脚 有始有终
无影无踪 无牵无挂 无边无际 无情无义 无忧无虑 无缘无故
不干不净 不清不楚 不明不白 不闻不问 不伦不类 不吵不闹
自言自语 自说自话 自吹自擂 自私自利 自高自大 自暴自弃
自给自足 神采奕奕 星光熠熠 小心翼翼 炊烟袅袅 白雪皑皑
心旷神怡 烈日灼灼 赤日炎炎 车轮滚滚 白骨累累 野心勃勃
绿浪滚滚 波浪滚滚 云浪滚滚 麦浪滚滚 热浪滚滚 江水滚滚
果实累累 秋实累累 硕果累累 果实累累 尸骨累累 弹孔累累 
生气勃勃 生机勃勃 生气勃勃 朝气勃勃 兴致勃勃 雄心勃勃
时隐时现 时高时低 时明时暗 时上时下 若即若离 古色古香
半信半疑 半明半昧 半梦半醒 半推半就 无穷无尽 不理不睬 
前因后果 前呼后拥 前思后想 前赴后继 前仰后合 前倨后恭
天经地义 天罗地网 天昏地暗 天诛地灭 天南地北 天荒地老
有眼无珠 有气无力 有始无终 有备无患 有恃无恐 有勇无谋
迫在眉睫 千钧一发 燃眉之急 十万火急 有名无实 东鳞西爪
东倒西歪 东张西望 东奔西走 东拉西扯 东拼西凑 东邻西舍
万象更新 抱头鼠窜 鸡鸣狗盗 千军万马 亡羊补牢 杯弓蛇影
鹤立鸡群 对牛弹琴 守株待兔 鹤发童颜 鹬蚌相争 蚕食鲸吞
如鱼得水 鸟语花香 为虎作伥 黔驴技穷 画龙点睛 虎背熊腰
狗急跳墙 鼠目寸光 盲人摸象 画蛇添足 鹤立鸡群 鸡鸣狗盗
蛛丝马迹 龙争虎斗 龙马精神 龙飞凤舞 龙腾虎跃 龙骧虎步
车水马龙 指鹿为马 兔死狐悲 鸡犬不宁 心猿意马 狼吞虎咽
龙潭虎穴 龙跃凤鸣 飞蛾扑火 金蝉脱壳 积蚊成雷 蟾宫折挂
蚕食鲸吞 蜻蜓点水 螳臂挡车 蛛丝马迹 螳螂捕蝉 黄雀在后
见多识广 察言观色 高瞻远瞩 左顾右盼 调兵遣将 粉身碎骨
千呼后拥 东倒西歪 眼高手低 口是心非 头重脚轻 有头无尾
前倨后恭 大材小用 声东击西 道听途说 胡言乱语 改朝换代
东逃西散 南辕北辙 左顾右盼 积少成多 同甘共苦 半信半疑
先人后己 有口无心 天经地义 弄假成真 举足轻重 南腔北调
转危为安 东倒西歪 反败为胜 以少胜多 由此及彼 狂风暴雨
旁敲侧击 千辛万苦 眼疾手快 生龙活虎 惊天动地 七拼八凑
不耻下问 问道于盲 盲人瞎马 马到成功 功败垂成 马失前蹄
成人之美 美不胜收 收回成命 命中注定 定时炸弹 秀色可餐
弹尽粮绝 绝无仅有 有机可乘 乘机而入 入木三分 雁过留痕
分秒必争 争权夺利 利欲熏心 心安理得 得意洋洋 勾心斗角
